Nodes,Speed,Protocol,Throughput,PDR,Delay
10,1,AODV,31.1346,56.4829,0.488312
10,5,AODV,37.2139,53.0645,0.620228
10,10,AODV,32.1274,54.6519,0.544014
10,15,AODV,38.7814,58.6718,0.504386
10,20,AODV,36.7613,55.561,0.466679
20,1,AODV,8.25525,62.4601,0.510863
20,5,AODV,14.8498,70.0769,0.426219
20,10,AODV,7.24424,56.3084,0.421344
20,15,AODV,7.21111,62.4975,0.393765
20,20,AODV,7.66003,59.1095,0.458733
30,1,AODV,4.85984,53.3163,0.395146
30,5,AODV,4.91752,54.8938,0.40181
30,10,AODV,9.58271,65.9733,0.597949
30,15,AODV,4.89676,61.672,0.485497
30,20,AODV,5.49714,51.8042,0.432416
40,1,AODV,9.46348,60.095,0.24833
40,5,AODV,3.57859,56.2472,0.490079
40,10,AODV,1.88164,59.2458,0.463701
40,15,AODV,3.09492,57.9857,0.466089
40,20,AODV,2.27668,54.3089,0.450443
50,1,AODV,3.04494,59.2967,0.48774
50,5,AODV,2.85763,55.6158,0.498699
50,10,AODV,3.3368,60.6899,0.558181
50,15,AODV,3.01565,50.3419,0.607928
50,20,AODV,4.14952,59.0473,0.576445
60,1,AODV,2.65784,64.2915,0.5231
60,5,AODV,2.635,65.5147,0.497369
60,10,AODV,2.01511,57.6845,0.458702
60,15,AODV,2.20727,43.5166,0.425484
60,20,AODV,2.35703,58.8518,0.599373
10,1,OLSR,351.63,37.8755,0.320344
10,5,OLSR,320.48,42.4038,0.434942
10,10,OLSR,345.83,45.3676,0.381866
10,15,OLSR,349.806,37.186,0.386093
10,20,OLSR,300.351,50.3599,0.820401
20,1,OLSR,305.326,40.4092,0.380528
20,5,OLSR,288.593,43.059,0.419419
20,10,OLSR,294.369,38.9743,0.723765
20,15,OLSR,290.433,43.7653,0.469883
20,20,OLSR,332.728,43.5265,0.212784
30,1,OLSR,274.523,36.0156,0.462161
30,5,OLSR,252.678,34.5003,0.366189
30,10,OLSR,297.507,39.6304,0.333356
30,15,OLSR,298.98,32.7804,0.381434
30,20,OLSR,247.038,32.9002,0.589459
40,1,OLSR,258.435,35.6903,0.476563
40,5,OLSR,221.736,32.5393,0.52982
40,10,OLSR,236.925,33.6492,0.484256
40,15,OLSR,287.04,38.5124,0.33916
40,20,OLSR,271.843,36.4415,0.275736
50,1,OLSR,234.309,31.0232,0.44809
50,5,OLSR,244.346,34.301,0.402025
50,10,OLSR,241.852,33.7774,0.22428
50,15,OLSR,276.076,37.9975,0.274134
50,20,OLSR,245.941,33.7412,0.280815
60,1,OLSR,230.607,33.1097,0.386113
60,5,OLSR,191.56,27.972,0.392696
60,10,OLSR,217.874,41.4489,0.692228
60,15,OLSR,260.204,35.4255,0.329986
60,20,OLSR,275.449,37.229,0.283727
10,1,DSDV,329.8,43.9749,0.398609
10,5,DSDV,323.616,43.1055,0.42692
10,10,DSDV,326.83,43.0885,0.390466
10,15,DSDV,326.02,43.2995,0.420283
10,20,DSDV,324.584,43.6147,0.41961
20,1,DSDV,288.367,39.0289,0.369081
20,5,DSDV,305.557,40.8402,0.37371
20,10,DSDV,310.488,41.5469,0.338487
20,15,DSDV,293.51,39.3869,0.355528
20,20,DSDV,308.224,41.1375,0.34292
30,1,DSDV,303.083,39.5038,0.296827
30,5,DSDV,292.364,39.0329,0.36741
30,10,DSDV,292.154,39.1463,0.368525
30,15,DSDV,278.057,37.2385,0.299261
30,20,DSDV,293.275,39.2777,0.342124
40,1,DSDV,296.662,39.6962,0.386129
40,5,DSDV,308.936,41.0939,0.391303
40,10,DSDV,291.65,38.8483,0.385837
40,15,DSDV,288.066,38.8537,0.339675
40,20,DSDV,290.056,39.1884,0.364486
50,1,DSDV,345.159,43.5503,0.227965
50,5,DSDV,352.853,44.6861,0.193364
50,10,DSDV,331.661,42.9622,0.281768
50,15,DSDV,357.694,44.4813,0.173645
50,20,DSDV,332.742,43.0854,0.240727
60,1,DSDV,274.379,33.3125,0.00103844
60,5,DSDV,379.646,46.0865,0.00375348
60,10,DSDV,379.527,46.0769,0.00476889
60,15,DSDV,274.356,33.2917,0.00166295
60,20,DSDV,274.365,33.2917,0.00152721
